PERIODO;PROGRAMA;GRUPO_REFERENCIA;PUNTAJE_GLOBAL;PERCENTIL_NACIONALGLOBAL;PERCENTIL_GRUPOREFGLOBAL;PUNTAJE_PRUEBA.CCiudadanas;PERCENTIL_NACIONALPRUEBA.CCiudadanas;PERCENTIL_GRUPOREFPRUEBA.CCiudadanas;PUNTAJE_PRUEBA.LectCritica;PERCENTIL_NACIONALPRUEBA.LectCritica;PERCENTIL_GRUPOREFPRUEBA.LectCritica;PUNTAJE_PRUEBA.RazCuanti;PERCENTIL_NACIONALPRUEBA.RazCuanti;PERCENTIL_GRUPOREFPRUEBA.RazCuanti
20162;NEGOCIOS INTERNACIONALES;ADMINISTRACIÓN Y AFINES;209;100;100;226;100;100;205;97;99;191;91;95
20162;NEGOCIOS INTERNACIONALES;ADMINISTRACIÓN Y AFINES;166;76;83;168;71;78;143;41;49;160;64;71
20162;COMUNICACION SOCIAL Y PERIODISMO;COMUNICACIÓN, PERIODISMO Y PUBLICIDAD;175;86;82;167;70;63;173;77;67;158;61;69
20162;NEGOCIOS INTERNACIONALES;ADMINISTRACIÓN Y AFINES;188;95;98;178;82;87;175;79;86;183;85;91
20162;ADMINISTRACION DE EMPRESAS;ADMINISTRACIÓN Y AFINES;180;90;94;152;51;57;179;83;89;176;80;86
20162;COMUNICACION SOCIAL Y PERIODISMO;COMUNICACIÓN, PERIODISMO Y PUBLICIDAD;173;84;80;181;85;81;186;88;82;186;88;94
20162;ADMINISTRACION DE EMPRESAS;ADMINISTRACIÓN Y AFINES;188;95;98;178;82;87;154;55;64;192;91;95
20162;ADMINISTRACION DE EMPRESAS;ADMINISTRACIÓN Y AFINES;207;100;100;193;93;96;205;97;99;209;98;99
20162;COMUNICACION SOCIAL Y PERIODISMO;COMUNICACIÓN, PERIODISMO Y PUBLICIDAD;178;88;85;138;35;25;195;94;90;179;83;90
20162;INGENIERIA INDUSTRIAL;INGENIERÍA;168;78;69;145;42;39;172;76;72;166;70;47
20162;NEGOCIOS INTERNACIONALES;ADMINISTRACIÓN Y AFINES;210;100;100;204;98;99;222;100;100;194;93;96
20162;INGENIERIA MECANICA;INGENIERÍA;197;98;97;177;81;79;189;90;88;211;98;95
20162;DISEÑO INDUSTRIAL;BELLAS ARTES Y DISEÑO;168;79;68;143;40;35;157;58;45;155;57;54
20162;RELACIONES INTERNACIONALES;CIENCIAS SOCIALES;220;100;100;300;100;100;193;93;85;182;85;91
20162;RELACIONES INTERNACIONALES;CIENCIAS SOCIALES;179;90;82;180;84;73;171;75;64;157;61;69
20162;ADMINISTRACION DE EMPRESAS;ADMINISTRACIÓN Y AFINES;144;42;49;143;41;46;135;32;38;148;49;55
20162;PSICOLOGIA;PSICOLOGÍA;168;79;83;156;56;54;194;93;93;150;51;66
20162;PSICOLOGIA;PSICOLOGÍA;185;93;96;182;85;86;187;89;89;162;66;81
20162;ADMINISTRACION DE EMPRESAS;ADMINISTRACIÓN Y AFINES;143;41;47;148;46;51;140;38;45;117;15;16
20162;NEGOCIOS INTERNACIONALES;ADMINISTRACIÓN Y AFINES;176;87;92;176;80;85;157;59;67;175;79;86
20162;NEGOCIOS INTERNACIONALES;ADMINISTRACIÓN Y AFINES;164;73;81;127;24;27;149;49;57;166;70;77
20162;CONTADURIA PUBLICA;CONTADURÍA Y AFINES;199;99;100;183;87;93;194;93;98;202;96;99
20162;ECONOMIA;ECONOMIA;193;97;85;156;56;32;214;99;96;192;92;73
20162;NEGOCIOS INTERNACIONALES;ADMINISTRACIÓN Y AFINES;169;80;86;149;48;54;181;85;91;134;33;36
20162;MEDICINA;MEDICINA;205;100;97;135;32;16;194;93;80;189;90;75
20162;MEDICINA;MEDICINA;196;98;92;167;70;46;193;93;79;196;94;82
20162;RELACIONES INTERNACIONALES;CIENCIAS SOCIALES;181;91;85;173;77;65;182;85;74;160;63;72
20162;NEGOCIOS INTERNACIONALES;ADMINISTRACIÓN Y AFINES;151;54;62;117;16;18;164;67;76;124;22;24
20162;RELACIONES INTERNACIONALES;CIENCIAS SOCIALES;163;72;64;189;91;83;186;89;79;96;3;5
20162;INGENIERIA MECANICA;INGENIERÍA;204;100;99;206;98;98;207;98;97;201;95;88
20162;INGENIERIA MECANICA;INGENIERÍA;201;99;99;203;98;97;200;96;95;196;93;83
